word,degree,strength,eigenvector,bridging,pc1,pc2,pc3
(d)in-šu-uš-[na-ak,2,0.3,7e-06,2.0,-0.0036,-0.0038,0.0012
(d)in-šu-uš-[na-ak],1,0.15,0.001375,0,-0.0014,-0.0058,0.002
(d)in-šu-uš-n[a-ak,2,0.3,2.5e-05,2.0,0.162,0.0115,0.0003
(d)in-šu-uš-n[a-ak],2,0.3,2.4e-05,2.0,0.162,0.0115,0.0003
(d)in-šu-uš-na-ak,33,21.4945,0.177019,28.25,-0.0079,0.0326,0.0194
(d)in-šu-uš-na-ak-ri,2,0.3,0.000277,2.0,-0.0044,0.0586,0.1392
(d)in-šu-uš-na-ak4,2,0.3,0.003283,0.0,-0.0021,-0.0067,0.0021
(d)in-šu-uš]-na-ak,2,0.3,0.001818,2.0,-0.0021,-0.0035,0.0017
(d)in-šu-ši-na-ak,18,7.98,0.068875,12.8235,-0.0065,-0.003,-0.0167
(d)in-šu-ši-na-ak-me,2,0.3,0.001845,2.0,-0.0071,0.097,-0.113
(d)in]-šu-uš-n[a-ak,2,0.3,2.7e-05,2.0,-0.0036,-0.0038,0.0012
(d)iš-ni-ka-ra-ab,2,0.3,0.001282,2.0,-0.0009,-0.0047,0.0001
(d)iš-ni-ka-ra-ab2,3,0.9349,0.003621,2.0,-0.0022,-0.0064,-0.0022
(d)ki-la-ah-šu-pi-ir,6,0.9,0.005384,5.6,-0.0004,-0.0099,0.0005
(d)ki-la-ah-šu-pi-ir],2,0.3,0.003002,2.0,-0.0011,-0.0084,-0.0001
(d)ki-ri-ri-ša,11,3.1178,0.030438,7.4,-0.0063,0.0404,0.0574
(d)ki-ri-ri-ša-me,2,0.3,0.001452,2.0,-0.0026,-0.0063,0.003
(d)ki-{ri-ri}-ša,3,0.914,0.001336,3.0,-0.0026,-0.0063,0.003
(d)kir-ma-sir-me,2,0.3,0.003812,0.0,-0.0017,-0.0023,-0.0044
(d)ma-an-za-at,4,0.6,0.00582,2.6667,0.0006,-0.0081,0.0001
(d)ma-áš-ti,2,0.3,0.002386,0.0,-0.0018,-0.0059,0.0001
(d)na-ah-hu-un-te,7,1.8354,0.014724,4.6667,-0.0031,-0.0056,-0.0003
(d)na-ah-hu-un-te-ir,2,0.9,1.7e-05,2.0,-0.0096,0.1098,0.0499
(d)na-ap-ra-te-ip,5,0.9,0.008123,4.5,-0.0031,-0.0067,-0.0029
(d)na-ap-ra-te-ip-me,2,0.6,0.006369,0.0,-0.0031,-0.0071,-0.0031
(d)na-bi-um,4,0.6,0.006769,1.3333,-0.0015,-0.0083,-0.0007
(d)na-bu-me,2,0.3,0.003184,0.0,-0.0021,-0.005,-0.0011
(d)na-bu-u2,4,0.6,0.006618,2.0,-0.0021,-0.005,-0.0011
(d)na-zi-it,2,0.3,0.003616,0.0,-0.0021,-0.0056,-0.0003
(d)na-zi-it-me,2,0.3,0.003812,0.0,-0.0021,-0.0056,-0.0003
(d)nin-a-li,4,0.9,0.007612,2.6667,-0.0029,-0.0054,-0.0021
(d)nin-a-li-me,2,0.3,0.003535,0.0,-0.002,-0.0028,-0.0011
(d)nin-e2-gal,4,0.6,0.00582,2.6667,-0.0016,-0.0078,-0.0007
(d)nun.sunki,2,0.3,0.003616,0.0,-0.002,-0.0048,-0.0
(d)nun.sunki-me,2,0.3,0.003812,0.0,-0.002,-0.0048,-0.0
(d)pa-tug2,2,0.3,0.000307,2.0,-0.0019,-0.004,-0.0003
(d)pi-el-ti-ya,2,0.3,0.000966,2.0,-0.0044,0.0586,0.1392
(d)pi-ni-gir3,4,1.2,0.016669,0.0,-0.0042,-0.0113,-0.0043
(d)pi-ni-gir3-me,2,0.6,0.006369,0.0,-0.003,-0.0078,-0.0027
(d)pi-ni-gir3-me-im-ma,2,0.3,0.003184,0.0,-0.0023,-0.0058,-0.0022
(d)pi-ni-gìr,2,0.3,0.002363,2.0,-0.0019,-0.0051,-0.0018
(d)ru-hu-ra-te-ir,4,0.9,0.007612,2.6667,-0.003,-0.0053,-0.0023
(d)ru-hu-ra-te-ir-me,2,0.3,0.003535,0.0,-0.002,-0.0028,-0.0011
