source,target,bigram_weight,similarity_weight,total_weight,edge_type
a-ak,hi-iš,0.3,0,0.3,bigram
(m)un-taš-dingir-gal-me,hi-iš,0.3,0,0.3,bigram
a-ha-ar,ta-an-ra,0.3,0,0.3,bigram
(d)ki-ri-ri-ša,a-ak,0.3,0,0.3,bigram
(d)ki-ri-ri-ša,si-ia-an-ku-uk-pa-ri,0.3,0,0.3,bigram
dingir-gal,me-lu-uk-ra,0.3,0,0.3,bigram
a-ha-an,si-ia-an-ku-uk,0.3,0,0.3,bigram
a-ha-an,ku-ši-ih,0.3,0,0.3,bigram
hi-en-ka,in-di-ik-ka,0.3,0,0.3,bigram
(d)ki-ri-ri-ša,u2-me,0.3,0,0.3,bigram
(d)hu-um-ban-nu-me-na-gi,ša-ak,0.3,0,0.3,bigram
(d)hu-um-ban-nu-me-na-gi,su-un-ki-ik,0.3,0,0.3,bigram
(d)ši-mut,ku-ši-ih,0.3,0,0.3,bigram
(d)na-ap-ra-te-ip,ku-ši-ih,0.3,0,0.3,bigram
(d)pi-ni-gir3-me,si-ia-an,0.3,0,0.3,bigram
(d)pi-ni-gir3-me,u2-pa-at,0.3,0,0.3,bigram
(d)hi-iš-mi-ti-ik,ku-ši-ih,0.3,0,0.3,bigram
hu-ut-tah-ša,im-me,0.3,0,0.3,bigram
u2,zig-ra-tu4-me,0.3,0,0.3,bigram
tu4-ur,za-ah-ri,0.3,0,0.3,bigram
(d)PA.TUG2,si-ia-an-ku-uk-ra,0.3,0,0.3,bigram
(d)hu-ban-nu-me-na-ki,ša-ak,0.3,0,0.3,bigram
(d)hu-ban-nu-me-na-ki,su-un-ki-ik,0.3,0,0.3,bigram
(d)PA.TUG2,ul-li-na,0.3,0,0.3,bigram
hi-en-ka,si-it-me,0.3,0,0.3,bigram
gi-ri-ni,in,0.3,0,0.3,bigram
a-al,un-taš-dingir-gal,0.3,0,0.3,bigram
a-ak,un-taš-dingir-gal,0.3,0,0.3,bigram
a-ak,si-ia-an-ku-uk,0.3,0,0.3,bigram
a-ha,ku-ši-ih,0.3,0,0.3,bigram
hu-hu-un,ku-ši-ih,0.3,0,0.3,bigram
in,ka-ak-pa-ah,0.3,0,0.3,bigram
ka-ak-pa-ah,ku-ku-un-nu-um,0.3,0,0.3,bigram
te-la-ak-ni,tu4-um-pa,0.3,0,0.3,bigram
ap-pa,ku-ši-ha,0.3,0,0.3,bigram
u2-ri-pu-pi,zu-un-ki-ip,0.3,0,0.3,bigram
(d)in-šu-uš-na-ak,un,0.3,0,0.3,bigram
du-ni-ih,un,0.3,0,0.3,bigram
